Korean Word, Korean Sentence, English Sentence
월요일, 월요일에 일해요., I work on Monday.
화요일, 화요일에 공부해요., I study on Tuesday.
수요일, 수요일에 만나요., I meet on Wednesday.
목요일, 목요일에 쉬어요., I rest on Thursday.
금요일, 금요일에 영화 봐요., I watch a movie on Friday.
토요일, 토요일에 여행 가요., I travel on Saturday.
일요일, 일요일에 쉬어요., I rest on Sunday.
평일, 평일에는 바빠요., I am busy on weekdays.
주말, 주말에 쉬어요., I rest on weekends.
매일, 매일 공부해요., I study every day.

일, 사과 한 개 있어요., There is one apple.
이, 학생이 두 명 있어요., There are two students.
삼, 책이 세 권 있어요., There are three books.
사, 의자가 네 개 있어요., There are four chairs.
오, 다섯 명이 와요., Five people come.
육, 여섯 개가 있어요., There are six things.
칠, 일곱 시에 만나요., I meet at seven.
팔, 여덟 개가 있어요., There are eight items.
구, 아홉 명이 있어요., There are nine people.
십, 열 개가 있어요., There are ten things.
이십, 스물 살이에요., I am twenty years old.
백, 백 원이에요., It is one hundred won.
천, 천 원이에요., It is one thousand won.
만, 만 원이에요., It is ten thousand won.

물건, 물건이 많아요., There are many things.
개, 사과 두 개 있어요., There are two apples.
명, 학생 세 명 있어요., There are three students.
병, 물 한 병 있어요., There is one bottle of water.
병, 콜라 두 병 있어요., There are two bottles of cola.
책, 책을 읽어요., I read a book.
권, 책 세 권 있어요., There are three books.
장, 종이 한 장 있어요., There is one sheet of paper.
동물, 동물을 좋아해요., I like animals.
마리, 개 두 마리 있어요., There are two dogs.
꽃, 꽃이 예뻐요., The flower is pretty.
송이, 꽃 한 송이 있어요., There is one flower.
옷, 옷을 입어요., I wear clothes.
벌, 옷 두 벌 있어요., There are two sets of clothes.
구두, 구두를 신어요., I wear shoes.
켤레, 신발 한 켤레 있어요., There is one pair of shoes.
대, 컴퓨터 한 대 있어요., There is one computer.
컵, 컵이 있어요., There is a cup.
잔, 물 한 잔 주세요., Please give me one cup of water.

왜, 왜 늦었어요?, Why are you late?
언제, 언제 만나요?, When do we meet?
어디, 어디에 가요?, Where do you go?
어느, 어느 것을 좋아해요?, Which one do you like?
어떻게, 어떻게 가요?, How do you go?
누구, 누구를 만나요?, Who do you meet?
무슨, 무슨 음식을 좋아해요?, What kind of food do you like?
뭐, 뭐 해요?, What are you doing?
무엇, 무엇을 원해요?, What do you want?
몇, 몇 명이에요?, How many people?
있어요, 책이 있어요., There is a book.
없어요, 돈이 없어요., I don't have money.
얼마예요?, 이거 얼마예요?, How much is this?
전화번호, 전화번호가 몇반이에요?, What is your phone number?
약속, 약속이 있어요., I have an appointment.
시간, 시간이 없어요., I don't have time.
보통, 보통 아침에 일어나요., I usually wake up in the morning.
그럼, 그럼 내일 봐요., Then see you tomorrow.
아주, 아주 좋아요., It is very good.
도, 저도 가요., I go too.
저도, 저도 학생이에요., Me too I am a student.

일월, 일월에 눈이 와요., It snows in January.
이월, 이월에 춥습니다., It is cold in February.
삼월, 삼월에 꽃이 피어요., Flowers bloom in March.
사월, 사월에 비가 와요., It rains in April.
오월, 오월에 날씨가 좋아요., The weather is good in May.
유월, 유월에 학교에 가요., I go to school in June.
칠월, 칠월에 여름 방학이에요., It is summer vacation in July.
팔월, 팔월에 더워요., It is hot in August.
구월, 구월에 가을이 와요., Autumn comes in September.
시월, 시월에 단풍이 예뻐요., The autumn leaves are pretty in October.
십일월, 십일월에 날씨가 추워요., The weather is cold in November.
십이월, 십이월에 크리스마스가 있어요., There is Christmas in December.

하나 (한), 사과 한 개 있어요., There is one apple.
둘 (두), 학생이 두 명 있어요., There are two students.
셋 (세), 책이 세 권 있어요., There are three books.
넷 (네), 의자가 네 개 있어요., There are four chairs.
다섯, 다섯 명이 와요., Five people come.
여섯, 여섯 개가 있어요., There are six things.
일곱, 일곱 시에 만나요., I meet at seven.
여덟, 여덟 개가 있어요., There are eight items.
아홉, 아홉 명이 있어요., There are nine people.
열, 열 개가 있어요., There are ten things.
스물, 스물 살이에요., I am twenty years old.
